ba_id,ba_name,lh_name,gf_name,lh_id,gf_id
2b55697f-f26e-433e-9070-f1fe9748bf7b,Porites,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
2b55697f-f26e-433e-9070-f1fe9748bf7b,Porites,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Arborescent,3427ae0e-fe8f-4ca2-a215-04272810202c,7e71833a-fc29-4176-91cb-1df6723089ed
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Columnar,3427ae0e-fe8f-4ca2-a215-04272810202c,cbff6080-6387-44e5-b7ad-35f35f3db3a7
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Corymbose,3427ae0e-fe8f-4ca2-a215-04272810202c,1dd23b35-32d7-489f-bee1-3985e17c113f
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Digitate,3427ae0e-fe8f-4ca2-a215-04272810202c,eb67cf91-533d-465c-bace-c7c6d3901516
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Encrusting,3427ae0e-fe8f-4ca2-a215-04272810202c,b406252b-c160-4fd6-b7f9-f61d5e2779a5
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Foliose,3427ae0e-fe8f-4ca2-a215-04272810202c,e149db12-9398-4a10-8642-5db70d1a8505
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Massive,3427ae0e-fe8f-4ca2-a215-04272810202c,888609b5-b58a-4d57-addc-a6935bba284b
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Mushroom coral,3427ae0e-fe8f-4ca2-a215-04272810202c,7a3be72b-a96e-4434-9c42-a817fe3fc765
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Plates or tables,3427ae0e-fe8f-4ca2-a215-04272810202c,6b2aabb4-d16f-445e-933f-16341030fdba
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Submassive,3427ae0e-fe8f-4ca2-a215-04272810202c,66f2cd86-a949-414e-96ac-5ea1fb702c5c
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,Porites evermanni,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
b4c17d65-c779-462e-b9b5-889e009ea737,Porites lichen,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
462970b7-3c1d-48a7-9f6f-d657b27a5bef,Porites lobata,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
5eb2052b-9787-4148-a230-4d04580f399c,Porites lutea,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
67d74d0f-3b04-477a-aed7-ac090bfd745e,Porites monticulosa,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
